timestamp,insertTime,speed,latitude,longitude,numberOfSatellites,type,digitalInput1,digitalInput2,digitalInput3,digitalInput4,digitalInput5,digitalOutput1,digitalOutput2,analogInput1,powerSupplyVoltage,internalBatteryVoltage,canSpeed,fuelConsp,coolantTemp,enginerpm,accelPedal,driverSeatBelt,parkBrake,breakPedal,fuelLevel,driverDoor,headLights,canAc,passDoor,blinker,power,unplugged,dtcStr,dtcCount,version,canOdometer,gpsOdometer,deviceOdometer,throttlePosition,throtPosB,throtPosC,calibStartStatus,calibStep,offRoadStep,greenDriveType,greenDriveValue
1528742281,1528742292,39,28.4868725,77.0914831,14,0,1,,,,,,,,12739,3821,39,,82,832,,,,,,,,,,,1,,,0,,,,,,,,,,,,
1528743181,1528743192,39,28.4868725,77.0914831,15,0,1,,,,,,,,12731,3821,39,,82,832,,,,,,,,,,,1,,,0,,,,,,,,,,,,
1528744081,1528744092,39,28.4868725,77.0914831,14,0,1,,,,,,,,12724,3821,39,,82,832,,,,,,,,,,,1,,,0,,,,,,,,,,,,
1528744981,1528744992,39,28.4868725,77.0914831,17,0,1,,,,,,,,12716,3821,39,,82,832,,,,,,,,,,,1,,,0,,,,,,,,,,,,
1528745881,1528745892,39,28.4868725,77.0914831,14,0,1,,,,,,,,12709,3821,39,,82,832,,,,,,,,,,,1,,,0,,,,,,,,,,,,
1528746781,1528746792,39,28.4868725,77.0914831,11,0,1,,,,,,,,12702,3821,39,,82,832,,,,,,,,,,,1,,,0,,,,,,,,,,,,
1528747681,1528747691,39,28.4868725,77.0914831,12,0,1,,,,,,,,12696,3821,39,,82,832,,,,,,,,,,,1,,,0,,,,,,,,,,,,
1528748581,1528748592,39,28.4868725,77.0914831,14,0,1,,,,,,,,12689,3821,39,,82,832,,,,,,,,,,,1,,,0,,,,,,,,,,,,
1528749481,1528749493,39,28.4868725,77.0914831,17,0,1,,,,,,,,12683,3821,39,,82,832,,,,,,,,,,,1,,,0,,,,,,,,,,,,
1528750381,1528750392,39,28.4868725,77.0914831,15,0,1,,,,,,,,12676,3821,39,,82,832,,,,,,,,,,,1,,,0,,,,,,,,,,,,
1528751281,1528751292,39,28.4868725,77.0914831,15,0,1,,,,,,,,12671,3821,39,,82,832,,,,,,,,,,,1,,,0,,,,,,,,,,,,
